@relation vehicle-weka.filters.supervised.attribute.Discretize-Rfirst-last

@attribute COMPACTNESS {'\'(-inf-81.5]\'','\'(81.5-87.5]\'','\'(87.5-98.5]\'','\'(98.5-103.5]\'','\'(103.5-inf)\''}
@attribute CIRCULARITY {'\'(-inf-40.5]\'','\'(40.5-49.5]\'','\'(49.5-54.5]\'','\'(54.5-inf)\''}
@attribute DISTANCECIRCULARITY {'\'(-inf-64.5]\'','\'(64.5-76.5]\'','\'(76.5-92.5]\'','\'(92.5-inf)\''}
@attribute RADIUSRATIO {'\'(-inf-175.5]\'','\'(175.5-234.5]\'','\'(234.5-inf)\''}
@attribute PRAXISASPECTRATIO {'\'(-inf-52.5]\'','\'(52.5-68.5]\'','\'(68.5-86.5]\'','\'(86.5-inf)\''}
@attribute MAXLENGTHASPECTRATIO {'\'(-inf-7.5]\'','\'(7.5-8.5]\'','\'(8.5-16]\'','\'(16-inf)\''}
@attribute SCATTERRATIO {'\'(-inf-140.5]\'','\'(140.5-154.5]\'','\'(154.5-163.5]\'','\'(163.5-230.5]\'','\'(230.5-inf)\''}
@attribute ELONGATEDNESS {'\'(-inf-29.5]\'','\'(29.5-41.5]\'','\'(41.5-44.5]\'','\'(44.5-46.5]\'','\'(46.5-inf)\''}
@attribute PRAXISRECTANGULAR {'\'(-inf-18.5]\'','\'(18.5-19.5]\'','\'(19.5-20.5]\'','\'(20.5-25.5]\'','\'(25.5-inf)\''}
@attribute LENGTHRECTANGULAR {'\'(-inf-135.5]\'','\'(135.5-147.5]\'','\'(147.5-160.5]\'','\'(160.5-172.5]\'','\'(172.5-inf)\''}
@attribute MAJORVARIANCE {'\'(-inf-165.5]\'','\'(165.5-180.5]\'','\'(180.5-242]\'','\'(242-inf)\''}
@attribute MINORVARIANCE {'\'(-inf-298.5]\'','\'(298.5-347.5]\'','\'(347.5-389.5]\'','\'(389.5-581]\'','\'(581-721.5]\'','\'(721.5-761.5]\'','\'(761.5-inf)\''}
@attribute GYRATIONRADIUS {'\'(-inf-170.5]\'','\'(170.5-192.5]\'','\'(192.5-241.5]\'','\'(241.5-inf)\''}
@attribute MAJORSKEWNESS {'\'(-inf-64.5]\'','\'(64.5-74.5]\'','\'(74.5-inf)\''}
@attribute MINORSKEWNESS {'\'(-inf-11.5]\'','\'(11.5-inf)\''}
@attribute MINORKURTOSIS {'\'(-inf-17.5]\'','\'(17.5-inf)\''}
@attribute MAJORKURTOSIS {'\'(-inf-177.5]\'','\'(177.5-181.5]\'','\'(181.5-185.5]\'','\'(185.5-191.5]\'','\'(191.5-inf)\''}
@attribute HOLLOWSRATIO {'\'(-inf-189.5]\'','\'(189.5-inf)\''}
@attribute class {van,saab,bus,opel}

@data
'\'(87.5-98.5]\'','\'(40.5-49.5]\'','\'(76.5-92.5]\'','\'(175.5-234.5]\'','\'(52.5-68.5]\'','\'(-inf-7.5]\'','\'(163.5-230.5]\'','\'(29.5-41.5]\'','\'(19.5-20.5]\'','\'(135.5-147.5]\'','\'(180.5-242]\'','\'(389.5-581]\'','\'(170.5-192.5]\'','\'(64.5-74.5]\'','\'(-inf-11.5]\'','\'(17.5-inf)\'','\'(191.5-inf)\'','\'(189.5-inf)\'',opel
'\'(98.5-103.5]\'','\'(49.5-54.5]\'','\'(92.5-inf)\'','\'(175.5-234.5]\'','\'(52.5-68.5]\'','\'(8.5-16]\'','\'(163.5-230.5]\'','\'(29.5-41.5]\'','\'(20.5-25.5]\'','\'(172.5-inf)\'','\'(180.5-242]\'','\'(721.5-761.5]\'','\'(192.5-241.5]\'','\'(64.5-74.5]\'','\'(-inf-11.5]\'','\'(17.5-inf)\'','\'(185.5-191.5]\'','\'(189.5-inf)\'',opel
'\'(98.5-103.5]\'','\'(40.5-49.5]\'','\'(76.5-92.5]\'','\'(-inf-175.5]\'','\'(52.5-68.5]\'','\'(8.5-16]\'','\'(154.5-163.5]\'','\'(41.5-44.5]\'','\'(19.5-20.5]\'','\'(160.5-172.5]\'','\'(165.5-180.5]\'','\'(347.5-389.5]\'','\'(-inf-170.5]\'','\'(64.5-74.5]\'','\'(11.5-inf)\'','\'(-inf-17.5]\'','\'(185.5-191.5]\'','\'(189.5-inf)\'',van
'\'(87.5-98.5]\'','\'(-inf-40.5]\'','\'(64.5-76.5]\'','\'(-inf-175.5]\'','\'(52.5-68.5]\'','\'(-inf-7.5]\'','\'(140.5-154.5]\'','\'(41.5-44.5]\'','\'(18.5-19.5]\'','\'(-inf-135.5]\'','\'(165.5-180.5]\'','\'(298.5-347.5]\'','\'(-inf-170.5]\'','\'(64.5-74.5]\'','\'(-inf-11.5]\'','\'(-inf-17.5]\'','\'(191.5-inf)\'','\'(189.5-inf)\'',bus
'\'(87.5-98.5]\'','\'(40.5-49.5]\'','\'(64.5-76.5]\'','\'(-inf-175.5]\'','\'(52.5-68.5]\'','\'(7.5-8.5]\'','\'(140.5-154.5]\'','\'(41.5-44.5]\'','\'(18.5-19.5]\'','\'(135.5-147.5]\'','\'(165.5-180.5]\'','\'(347.5-389.5]\'','\'(-inf-170.5]\'','\'(-inf-64.5]\'','\'(11.5-inf)\'','\'(-inf-17.5]\'','\'(191.5-inf)\'','\'(189.5-inf)\'',saab
'\'(87.5-98.5]\'','\'(-inf-40.5]\'','\'(-inf-64.5]\'','\'(-inf-175.5]\'','\'(68.5-86.5]\'','\'(7.5-8.5]\'','\'(-inf-140.5]\'','\'(46.5-inf)\'','\'(-inf-18.5]\'','\'(135.5-147.5]\'','\'(-inf-165.5]\'','\'(-inf-298.5]\'','\'(-inf-170.5]\'','\'(64.5-74.5]\'','\'(-inf-11.5]\'','\'(17.5-inf)\'','\'(191.5-inf)\'','\'(189.5-inf)\'',van
'\'(103.5-inf)\'','\'(49.5-54.5]\'','\'(92.5-inf)\'','\'(175.5-234.5]\'','\'(52.5-68.5]\'','\'(8.5-16]\'','\'(163.5-230.5]\'','\'(29.5-41.5]\'','\'(20.5-25.5]\'','\'(147.5-160.5]\'','\'(180.5-242]\'','\'(389.5-581]\'','\'(192.5-241.5]\'','\'(64.5-74.5]\'','\'(-inf-11.5]\'','\'(-inf-17.5]\'','\'(191.5-inf)\'','\'(189.5-inf)\'',saab
'\'(87.5-98.5]\'','\'(40.5-49.5]\'','\'(76.5-92.5]\'','\'(175.5-234.5]\'','\'(68.5-86.5]\'','\'(-inf-7.5]\'','\'(163.5-230.5]\'','\'(29.5-41.5]\'','\'(20.5-25.5]\'','\'(135.5-147.5]\'','\'(180.5-242]\'','\'(389.5-581]\'','\'(-inf-170.5]\'','\'(64.5-74.5]\'','\'(-inf-11.5]\'','\'(17.5-inf)\'','\'(191.5-inf)\'','\'(189.5-inf)\'',bus
'\'(87.5-98.5]\'','\'(-inf-40.5]\'','\'(64.5-76.5]\'','\'(-inf-175.5]\'','\'(52.5-68.5]\'','\'(-inf-7.5]\'','\'(140.5-154.5]\'','\'(41.5-44.5]\'','\'(18.5-19.5]\'','\'(-inf-135.5]\'','\'(165.5-180.5]\'','\'(298.5-347.5]\'','\'(-inf-170.5]\'','\'(-inf-64.5]\'','\'(-inf-11.5]\'','\'(17.5-inf)\'','\'(191.5-inf)\'','\'(189.5-inf)\'',opel
'\'(103.5-inf)\'','\'(40.5-49.5]\'','\'(92.5-inf)\'','\'(175.5-234.5]\'','\'(52.5-68.5]\'','\'(8.5-16]\'','\'(163.5-230.5]\'','\'(29.5-41.5]\'','\'(20.5-25.5]\'','\'(147.5-160.5]\'','\'(180.5-242]\'','\'(581-721.5]\'','\'(170.5-192.5]\'','\'(64.5-74.5]\'','\'(-inf-11.5]\'','\'(17.5-inf)\'','\'(185.5-191.5]\'','\'(189.5-inf)\'',saab
'\'(87.5-98.5]\'','\'(-inf-40.5]\'','\'(76.5-92.5]\'','\'(-inf-175.5]\'','\'(52.5-68.5]\'','\'(8.5-16]\'','\'(140.5-154.5]\'','\'(44.5-46.5]\'','\'(18.5-19.5]\'','\'(135.5-147.5]\'','\'(165.5-180.5]\'','\'(298.5-347.5]\'','\'(-inf-170.5]\'','\'(64.5-74.5]\'','\'(-inf-11.5]\'','\'(-inf-17.5]\'','\'(185.5-191.5]\'','\'(189.5-inf)\'',van
'\'(103.5-inf)\'','\'(54.5-inf)\'','\'(92.5-inf)\'','\'(175.5-234.5]\'','\'(52.5-68.5]\'','\'(-inf-7.5]\'','\'(230.5-inf)\'','\'(-inf-29.5]\'','\'(25.5-inf)\'','\'(160.5-172.5]\'','\'(242-inf)\'','\'(761.5-inf)\'','\'(192.5-241.5]\'','\'(74.5-inf)\'','\'(-inf-11.5]\'','\'(-inf-17.5]\'','\'(181.5-185.5]\'','\'(-inf-189.5]\'',bus
'\'(81.5-87.5]\'','\'(-inf-40.5]\'','\'(76.5-92.5]\'','\'(-inf-175.5]\'','\'(52.5-68.5]\'','\'(-inf-7.5]\'','\'(140.5-154.5]\'','\'(44.5-46.5]\'','\'(18.5-19.5]\'','\'(-inf-135.5]\'','\'(165.5-180.5]\'','\'(298.5-347.5]\'','\'(-inf-170.5]\'','\'(-inf-64.5]\'','\'(-inf-11.5]\'','\'(17.5-inf)\'','\'(191.5-inf)\'','\'(189.5-inf)\'',opel
'\'(87.5-98.5]\'','\'(40.5-49.5]\'','\'(64.5-76.5]\'','\'(-inf-175.5]\'','\'(52.5-68.5]\'','\'(-inf-7.5]\'','\'(-inf-140.5]\'','\'(46.5-inf)\'','\'(-inf-18.5]\'','\'(135.5-147.5]\'','\'(-inf-165.5]\'','\'(-inf-298.5]\'','\'(-inf-170.5]\'','\'(64.5-74.5]\'','\'(-inf-11.5]\'','\'(-inf-17.5]\'','\'(185.5-191.5]\'','\'(189.5-inf)\'',van
'\'(81.5-87.5]\'','\'(-inf-40.5]\'','\'(64.5-76.5]\'','\'(-inf-175.5]\'','\'(52.5-68.5]\'','\'(-inf-7.5]\'','\'(140.5-154.5]\'','\'(41.5-44.5]\'','\'(18.5-19.5]\'','\'(135.5-147.5]\'','\'(165.5-180.5]\'','\'(298.5-347.5]\'','\'(-inf-170.5]\'','\'(64.5-74.5]\'','\'(-inf-11.5]\'','\'(17.5-inf)\'','\'(185.5-191.5]\'','\'(189.5-inf)\'',saab
'\'(87.5-98.5]\'','\'(40.5-49.5]\'','\'(64.5-76.5]\'','\'(-inf-175.5]\'','\'(52.5-68.5]\'','\'(-inf-7.5]\'','\'(140.5-154.5]\'','\'(41.5-44.5]\'','\'(18.5-19.5]\'','\'(135.5-147.5]\'','\'(165.5-180.5]\'','\'(298.5-347.5]\'','\'(170.5-192.5]\'','\'(64.5-74.5]\'','\'(11.5-inf)\'','\'(-inf-17.5]\'','\'(191.5-inf)\'','\'(189.5-inf)\'',opel
'\'(81.5-87.5]\'','\'(-inf-40.5]\'','\'(-inf-64.5]\'','\'(-inf-175.5]\'','\'(52.5-68.5]\'','\'(-inf-7.5]\'','\'(-inf-140.5]\'','\'(46.5-inf)\'','\'(-inf-18.5]\'','\'(-inf-135.5]\'','\'(-inf-165.5]\'','\'(-inf-298.5]\'','\'(-inf-170.5]\'','\'(74.5-inf)\'','\'(-inf-11.5]\'','\'(-inf-17.5]\'','\'(-inf-177.5]\'','\'(-inf-189.5]\'',opel
'\'(103.5-inf)\'','\'(49.5-54.5]\'','\'(92.5-inf)\'','\'(175.5-234.5]\'','\'(52.5-68.5]\'','\'(8.5-16]\'','\'(163.5-230.5]\'','\'(29.5-41.5]\'','\'(20.5-25.5]\'','\'(160.5-172.5]\'','\'(180.5-242]\'','\'(581-721.5]\'','\'(170.5-192.5]\'','\'(64.5-74.5]\'','\'(11.5-inf)\'','\'(-inf-17.5]\'','\'(191.5-inf)\'','\'(189.5-inf)\'',opel
'\'(87.5-98.5]\'','\'(-inf-40.5]\'','\'(76.5-92.5]\'','\'(175.5-234.5]\'','\'(52.5-68.5]\'','\'(8.5-16]\'','\'(163.5-230.5]\'','\'(29.5-41.5]\'','\'(19.5-20.5]\'','\'(135.5-147.5]\'','\'(180.5-242]\'','\'(389.5-581]\'','\'(-inf-170.5]\'','\'(-inf-64.5]\'','\'(-inf-11.5]\'','\'(17.5-inf)\'','\'(191.5-inf)\'','\'(189.5-inf)\'',saab
'\'(81.5-87.5]\'','\'(-inf-40.5]\'','\'(64.5-76.5]\'','\'(-inf-175.5]\'','\'(52.5-68.5]\'','\'(-inf-7.5]\'','\'(-inf-140.5]\'','\'(46.5-inf)\'','\'(-inf-18.5]\'','\'(-inf-135.5]\'','\'(-inf-165.5]\'','\'(-inf-298.5]\'','\'(-inf-170.5]\'','\'(64.5-74.5]\'','\'(-inf-11.5]\'','\'(-inf-17.5]\'','\'(185.5-191.5]\'','\'(189.5-inf)\'',saab
'\'(87.5-98.5]\'','\'(49.5-54.5]\'','\'(92.5-inf)\'','\'(175.5-234.5]\'','\'(52.5-68.5]\'','\'(8.5-16]\'','\'(163.5-230.5]\'','\'(29.5-41.5]\'','\'(20.5-25.5]\'','\'(160.5-172.5]\'','\'(180.5-242]\'','\'(581-721.5]\'','\'(192.5-241.5]\'','\'(64.5-74.5]\'','\'(-inf-11.5]\'','\'(17.5-inf)\'','\'(185.5-191.5]\'','\'(189.5-inf)\'',opel
'\'(98.5-103.5]\'','\'(49.5-54.5]\'','\'(76.5-92.5]\'','\'(175.5-234.5]\'','\'(52.5-68.5]\'','\'(8.5-16]\'','\'(163.5-230.5]\'','\'(29.5-41.5]\'','\'(20.5-25.5]\'','\'(160.5-172.5]\'','\'(180.5-242]\'','\'(581-721.5]\'','\'(192.5-241.5]\'','\'(64.5-74.5]\'','\'(-inf-11.5]\'','\'(17.5-inf)\'','\'(185.5-191.5]\'','\'(189.5-inf)\'',opel
'\'(87.5-98.5]\'','\'(-inf-40.5]\'','\'(76.5-92.5]\'','\'(-inf-175.5]\'','\'(52.5-68.5]\'','\'(7.5-8.5]\'','\'(140.5-154.5]\'','\'(41.5-44.5]\'','\'(18.5-19.5]\'','\'(-inf-135.5]\'','\'(165.5-180.5]\'','\'(347.5-389.5]\'','\'(-inf-170.5]\'','\'(-inf-64.5]\'','\'(-inf-11.5]\'','\'(17.5-inf)\'','\'(191.5-inf)\'','\'(189.5-inf)\'',saab
'\'(103.5-inf)\'','\'(49.5-54.5]\'','\'(92.5-inf)\'','\'(175.5-234.5]\'','\'(52.5-68.5]\'','\'(8.5-16]\'','\'(163.5-230.5]\'','\'(29.5-41.5]\'','\'(20.5-25.5]\'','\'(160.5-172.5]\'','\'(180.5-242]\'','\'(581-721.5]\'','\'(170.5-192.5]\'','\'(64.5-74.5]\'','\'(11.5-inf)\'','\'(-inf-17.5]\'','\'(185.5-191.5]\'','\'(189.5-inf)\'',saab
'\'(81.5-87.5]\'','\'(40.5-49.5]\'','\'(64.5-76.5]\'','\'(-inf-175.5]\'','\'(52.5-68.5]\'','\'(-inf-7.5]\'','\'(140.5-154.5]\'','\'(44.5-46.5]\'','\'(18.5-19.5]\'','\'(135.5-147.5]\'','\'(165.5-180.5]\'','\'(298.5-347.5]\'','\'(170.5-192.5]\'','\'(74.5-inf)\'','\'(-inf-11.5]\'','\'(-inf-17.5]\'','\'(177.5-181.5]\'','\'(-inf-189.5]\'',bus
'\'(87.5-98.5]\'','\'(-inf-40.5]\'','\'(64.5-76.5]\'','\'(-inf-175.5]\'','\'(-inf-52.5]\'','\'(7.5-8.5]\'','\'(-inf-140.5]\'','\'(46.5-inf)\'','\'(-inf-18.5]\'','\'(135.5-147.5]\'','\'(-inf-165.5]\'','\'(-inf-298.5]\'','\'(-inf-170.5]\'','\'(64.5-74.5]\'','\'(-inf-11.5]\'','\'(-inf-17.5]\'','\'(185.5-191.5]\'','\'(-inf-189.5]\'',van
'\'(103.5-inf)\'','\'(49.5-54.5]\'','\'(92.5-inf)\'','\'(175.5-234.5]\'','\'(52.5-68.5]\'','\'(8.5-16]\'','\'(163.5-230.5]\'','\'(29.5-41.5]\'','\'(20.5-25.5]\'','\'(147.5-160.5]\'','\'(180.5-242]\'','\'(581-721.5]\'','\'(170.5-192.5]\'','\'(64.5-74.5]\'','\'(-inf-11.5]\'','\'(-inf-17.5]\'','\'(185.5-191.5]\'','\'(189.5-inf)\'',opel
'\'(103.5-inf)\'','\'(49.5-54.5]\'','\'(92.5-inf)\'','\'(-inf-175.5]\'','\'(-inf-52.5]\'','\'(-inf-7.5]\'','\'(230.5-inf)\'','\'(-inf-29.5]\'','\'(25.5-inf)\'','\'(160.5-172.5]\'','\'(242-inf)\'','\'(761.5-inf)\'','\'(241.5-inf)\'','\'(74.5-inf)\'','\'(-inf-11.5]\'','\'(-inf-17.5]\'','\'(177.5-181.5]\'','\'(-inf-189.5]\'',bus
'\'(87.5-98.5]\'','\'(40.5-49.5]\'','\'(76.5-92.5]\'','\'(-inf-175.5]\'','\'(52.5-68.5]\'','\'(8.5-16]\'','\'(140.5-154.5]\'','\'(44.5-46.5]\'','\'(18.5-19.5]\'','\'(135.5-147.5]\'','\'(-inf-165.5]\'','\'(298.5-347.5]\'','\'(170.5-192.5]\'','\'(64.5-74.5]\'','\'(-inf-11.5]\'','\'(-inf-17.5]\'','\'(191.5-inf)\'','\'(189.5-inf)\'',van
'\'(87.5-98.5]\'','\'(40.5-49.5]\'','\'(92.5-inf)\'','\'(175.5-234.5]\'','\'(52.5-68.5]\'','\'(-inf-7.5]\'','\'(163.5-230.5]\'','\'(29.5-41.5]\'','\'(20.5-25.5]\'','\'(147.5-160.5]\'','\'(180.5-242]\'','\'(581-721.5]\'','\'(192.5-241.5]\'','\'(74.5-inf)\'','\'(-inf-11.5]\'','\'(17.5-inf)\'','\'(185.5-191.5]\'','\'(-inf-189.5]\'',bus
'\'(87.5-98.5]\'','\'(40.5-49.5]\'','\'(76.5-92.5]\'','\'(-inf-175.5]\'','\'(52.5-68.5]\'','\'(8.5-16]\'','\'(154.5-163.5]\'','\'(41.5-44.5]\'','\'(19.5-20.5]\'','\'(160.5-172.5]\'','\'(165.5-180.5]\'','\'(347.5-389.5]\'','\'(170.5-192.5]\'','\'(64.5-74.5]\'','\'(-inf-11.5]\'','\'(-inf-17.5]\'','\'(181.5-185.5]\'','\'(189.5-inf)\'',van
'\'(87.5-98.5]\'','\'(-inf-40.5]\'','\'(76.5-92.5]\'','\'(175.5-234.5]\'','\'(68.5-86.5]\'','\'(-inf-7.5]\'','\'(154.5-163.5]\'','\'(29.5-41.5]\'','\'(19.5-20.5]\'','\'(-inf-135.5]\'','\'(180.5-242]\'','\'(347.5-389.5]\'','\'(-inf-170.5]\'','\'(64.5-74.5]\'','\'(-inf-11.5]\'','\'(-inf-17.5]\'','\'(191.5-inf)\'','\'(189.5-inf)\'',bus
'\'(81.5-87.5]\'','\'(-inf-40.5]\'','\'(76.5-92.5]\'','\'(175.5-234.5]\'','\'(52.5-68.5]\'','\'(-inf-7.5]\'','\'(163.5-230.5]\'','\'(29.5-41.5]\'','\'(20.5-25.5]\'','\'(-inf-135.5]\'','\'(180.5-242]\'','\'(389.5-581]\'','\'(-inf-170.5]\'','\'(64.5-74.5]\'','\'(-inf-11.5]\'','\'(17.5-inf)\'','\'(185.5-191.5]\'','\'(189.5-inf)\'',opel
'\'(87.5-98.5]\'','\'(40.5-49.5]\'','\'(64.5-76.5]\'','\'(-inf-175.5]\'','\'(52.5-68.5]\'','\'(-inf-7.5]\'','\'(140.5-154.5]\'','\'(44.5-46.5]\'','\'(18.5-19.5]\'','\'(135.5-147.5]\'','\'(165.5-180.5]\'','\'(298.5-347.5]\'','\'(-inf-170.5]\'','\'(64.5-74.5]\'','\'(-inf-11.5]\'','\'(-inf-17.5]\'','\'(185.5-191.5]\'','\'(189.5-inf)\'',bus
'\'(87.5-98.5]\'','\'(-inf-40.5]\'','\'(64.5-76.5]\'','\'(-inf-175.5]\'','\'(52.5-68.5]\'','\'(-inf-7.5]\'','\'(140.5-154.5]\'','\'(41.5-44.5]\'','\'(18.5-19.5]\'','\'(-inf-135.5]\'','\'(165.5-180.5]\'','\'(298.5-347.5]\'','\'(-inf-170.5]\'','\'(64.5-74.5]\'','\'(-inf-11.5]\'','\'(17.5-inf)\'','\'(191.5-inf)\'','\'(189.5-inf)\'',bus
'\'(87.5-98.5]\'','\'(40.5-49.5]\'','\'(64.5-76.5]\'','\'(-inf-175.5]\'','\'(52.5-68.5]\'','\'(-inf-7.5]\'','\'(-inf-140.5]\'','\'(46.5-inf)\'','\'(-inf-18.5]\'','\'(135.5-147.5]\'','\'(165.5-180.5]\'','\'(-inf-298.5]\'','\'(-inf-170.5]\'','\'(74.5-inf)\'','\'(-inf-11.5]\'','\'(-inf-17.5]\'','\'(185.5-191.5]\'','\'(-inf-189.5]\'',van
'\'(98.5-103.5]\'','\'(49.5-54.5]\'','\'(92.5-inf)\'','\'(175.5-234.5]\'','\'(52.5-68.5]\'','\'(8.5-16]\'','\'(163.5-230.5]\'','\'(29.5-41.5]\'','\'(20.5-25.5]\'','\'(160.5-172.5]\'','\'(180.5-242]\'','\'(581-721.5]\'','\'(192.5-241.5]\'','\'(64.5-74.5]\'','\'(-inf-11.5]\'','\'(17.5-inf)\'','\'(185.5-191.5]\'','\'(189.5-inf)\'',saab
'\'(-inf-81.5]\'','\'(-inf-40.5]\'','\'(-inf-64.5]\'','\'(-inf-175.5]\'','\'(52.5-68.5]\'','\'(-inf-7.5]\'','\'(-inf-140.5]\'','\'(46.5-inf)\'','\'(-inf-18.5]\'','\'(-inf-135.5]\'','\'(-inf-165.5]\'','\'(-inf-298.5]\'','\'(-inf-170.5]\'','\'(74.5-inf)\'','\'(-inf-11.5]\'','\'(-inf-17.5]\'','\'(177.5-181.5]\'','\'(-inf-189.5]\'',opel
'\'(87.5-98.5]\'','\'(40.5-49.5]\'','\'(64.5-76.5]\'','\'(-inf-175.5]\'','\'(52.5-68.5]\'','\'(-inf-7.5]\'','\'(140.5-154.5]\'','\'(41.5-44.5]\'','\'(18.5-19.5]\'','\'(135.5-147.5]\'','\'(165.5-180.5]\'','\'(298.5-347.5]\'','\'(-inf-170.5]\'','\'(64.5-74.5]\'','\'(-inf-11.5]\'','\'(-inf-17.5]\'','\'(191.5-inf)\'','\'(189.5-inf)\'',bus
'\'(81.5-87.5]\'','\'(-inf-40.5]\'','\'(-inf-64.5]\'','\'(-inf-175.5]\'','\'(52.5-68.5]\'','\'(-inf-7.5]\'','\'(-inf-140.5]\'','\'(46.5-inf)\'','\'(-inf-18.5]\'','\'(-inf-135.5]\'','\'(-inf-165.5]\'','\'(-inf-298.5]\'','\'(-inf-170.5]\'','\'(74.5-inf)\'','\'(-inf-11.5]\'','\'(17.5-inf)\'','\'(181.5-185.5]\'','\'(189.5-inf)\'',saab
'\'(98.5-103.5]\'','\'(40.5-49.5]\'','\'(92.5-inf)\'','\'(175.5-234.5]\'','\'(52.5-68.5]\'','\'(8.5-16]\'','\'(163.5-230.5]\'','\'(29.5-41.5]\'','\'(20.5-25.5]\'','\'(147.5-160.5]\'','\'(180.5-242]\'','\'(581-721.5]\'','\'(192.5-241.5]\'','\'(64.5-74.5]\'','\'(-inf-11.5]\'','\'(-inf-17.5]\'','\'(185.5-191.5]\'','\'(189.5-inf)\'',saab
'\'(98.5-103.5]\'','\'(40.5-49.5]\'','\'(64.5-76.5]\'','\'(175.5-234.5]\'','\'(68.5-86.5]\'','\'(-inf-7.5]\'','\'(163.5-230.5]\'','\'(29.5-41.5]\'','\'(20.5-25.5]\'','\'(135.5-147.5]\'','\'(180.5-242]\'','\'(389.5-581]\'','\'(-inf-170.5]\'','\'(64.5-74.5]\'','\'(-inf-11.5]\'','\'(17.5-inf)\'','\'(191.5-inf)\'','\'(189.5-inf)\'',bus
'\'(87.5-98.5]\'','\'(40.5-49.5]\'','\'(76.5-92.5]\'','\'(175.5-234.5]\'','\'(68.5-86.5]\'','\'(-inf-7.5]\'','\'(163.5-230.5]\'','\'(29.5-41.5]\'','\'(19.5-20.5]\'','\'(135.5-147.5]\'','\'(180.5-242]\'','\'(389.5-581]\'','\'(-inf-170.5]\'','\'(64.5-74.5]\'','\'(-inf-11.5]\'','\'(17.5-inf)\'','\'(191.5-inf)\'','\'(189.5-inf)\'',bus
'\'(87.5-98.5]\'','\'(40.5-49.5]\'','\'(64.5-76.5]\'','\'(-inf-175.5]\'','\'(52.5-68.5]\'','\'(-inf-7.5]\'','\'(154.5-163.5]\'','\'(41.5-44.5]\'','\'(19.5-20.5]\'','\'(147.5-160.5]\'','\'(180.5-242]\'','\'(347.5-389.5]\'','\'(170.5-192.5]\'','\'(64.5-74.5]\'','\'(11.5-inf)\'','\'(-inf-17.5]\'','\'(185.5-191.5]\'','\'(189.5-inf)\'',opel
'\'(98.5-103.5]\'','\'(49.5-54.5]\'','\'(92.5-inf)\'','\'(175.5-234.5]\'','\'(52.5-68.5]\'','\'(8.5-16]\'','\'(163.5-230.5]\'','\'(29.5-41.5]\'','\'(20.5-25.5]\'','\'(160.5-172.5]\'','\'(180.5-242]\'','\'(581-721.5]\'','\'(192.5-241.5]\'','\'(64.5-74.5]\'','\'(-inf-11.5]\'','\'(17.5-inf)\'','\'(185.5-191.5]\'','\'(189.5-inf)\'',opel
'\'(87.5-98.5]\'','\'(-inf-40.5]\'','\'(76.5-92.5]\'','\'(175.5-234.5]\'','\'(52.5-68.5]\'','\'(7.5-8.5]\'','\'(154.5-163.5]\'','\'(41.5-44.5]\'','\'(18.5-19.5]\'','\'(-inf-135.5]\'','\'(180.5-242]\'','\'(347.5-389.5]\'','\'(-inf-170.5]\'','\'(64.5-74.5]\'','\'(-inf-11.5]\'','\'(17.5-inf)\'','\'(191.5-inf)\'','\'(189.5-inf)\'',opel
'\'(87.5-98.5]\'','\'(40.5-49.5]\'','\'(92.5-inf)\'','\'(175.5-234.5]\'','\'(52.5-68.5]\'','\'(8.5-16]\'','\'(163.5-230.5]\'','\'(29.5-41.5]\'','\'(20.5-25.5]\'','\'(147.5-160.5]\'','\'(180.5-242]\'','\'(389.5-581]\'','\'(170.5-192.5]\'','\'(-inf-64.5]\'','\'(11.5-inf)\'','\'(-inf-17.5]\'','\'(191.5-inf)\'','\'(189.5-inf)\'',opel
'\'(81.5-87.5]\'','\'(-inf-40.5]\'','\'(76.5-92.5]\'','\'(-inf-175.5]\'','\'(52.5-68.5]\'','\'(8.5-16]\'','\'(140.5-154.5]\'','\'(44.5-46.5]\'','\'(18.5-19.5]\'','\'(135.5-147.5]\'','\'(165.5-180.5]\'','\'(298.5-347.5]\'','\'(-inf-170.5]\'','\'(64.5-74.5]\'','\'(-inf-11.5]\'','\'(-inf-17.5]\'','\'(185.5-191.5]\'','\'(189.5-inf)\'',van
'\'(87.5-98.5]\'','\'(40.5-49.5]\'','\'(64.5-76.5]\'','\'(-inf-175.5]\'','\'(52.5-68.5]\'','\'(-inf-7.5]\'','\'(140.5-154.5]\'','\'(41.5-44.5]\'','\'(18.5-19.5]\'','\'(135.5-147.5]\'','\'(165.5-180.5]\'','\'(298.5-347.5]\'','\'(170.5-192.5]\'','\'(64.5-74.5]\'','\'(11.5-inf)\'','\'(-inf-17.5]\'','\'(185.5-191.5]\'','\'(189.5-inf)\'',saab
'\'(103.5-inf)\'','\'(54.5-inf)\'','\'(92.5-inf)\'','\'(175.5-234.5]\'','\'(52.5-68.5]\'','\'(-inf-7.5]\'','\'(230.5-inf)\'','\'(-inf-29.5]\'','\'(25.5-inf)\'','\'(160.5-172.5]\'','\'(242-inf)\'','\'(761.5-inf)\'','\'(241.5-inf)\'','\'(74.5-inf)\'','\'(-inf-11.5]\'','\'(-inf-17.5]\'','\'(185.5-191.5]\'','\'(-inf-189.5]\'',bus
